Block_ID,VN1_Start,VN1_End,VN1_Strand,CH1_Start,CH1_End,CH1_Strand,CH2_Start,CH2_End,CH2_Strand,10_Sro_Shorea_Start,10_Sro_Shorea_End,10_Sro_Shorea_Strand,Cacao_Outgroup_Start,Cacao_Outgroup_End,Cacao_Outgroup_Strand
LCB_1,216904,216951,+,387705,387752,+,25576,25623,-,203064,203111,+,-,-,-
LCB_2,130032,130288,+,300832,301088,+,155769,156025,+,201809,202058,-,-,-,-
LCB_3,130632,132881,+,301432,303681,+,156369,158618,+,199221,201465,-,-,-,-
LCB_4,133836,134030,+,304636,304830,+,159573,159767,+,195705,195899,-,-,-,-
LCB_5,134152,134289,+,304952,305089,+,159889,160026,+,195452,195589,-,-,-,-
LCB_6,359958,360712,+,117520,118274,+,354373,355127,+,194639,195268,+,-,-,-
LCB_7,192764,193052,+,363565,363853,+,49471,49759,-,189287,189575,-,-,-,-
LCB_8,193495,193590,+,364296,364391,+,48934,49028,-,188759,188844,-,-,-,-
LCB_9,194878,196243,+,365679,367044,+,46280,47645,-,186098,187464,-,-,-,-
LCB_10,198051,198071,+,368852,368872,+,44453,44472,-,184272,184291,-,-,-,-
LCB_11,198191,200673,+,368992,371474,+,41850,44332,-,181669,184151,-,-,-,-
LCB_12,200927,201102,+,371728,371903,+,41421,41596,-,181240,181415,-,-,-,-
LCB_13,201177,201943,+,371978,372744,+,40581,41346,-,180400,181165,-,-,-,-
LCB_14,203900,206937,+,374701,377738,+,35586,38623,-,175395,178442,-,-,-,-
LCB_15,206938,206956,+,377739,377757,+,35567,35586,-,175394,175394,-,-,-,-
LCB_16,206958,209622,+,377759,380423,+,32901,35565,-,172720,175392,-,-,-,-
LCB_17,308276,308378,+,65843,65945,+,302749,302851,+,150911,151013,+,-,-,-
LCB_18,307971,308082,+,65538,65649,+,302444,302555,+,150606,150717,+,-,-,-
LCB_19,307297,307676,+,64864,65243,+,301770,302149,+,149932,150311,+,-,-,-
LCB_20,20743,21016,+,191570,191838,+,220280,220551,-,255243,255510,+,-,-,-
LCB_21,14113,19447,+,184940,190274,+,221847,227181,-,248599,253947,+,-,-,-
LCB_22,113456,115007,+,284275,285826,+,139137,140687,+,244882,246357,-,-,-,-
LCB_23,10220,13945,+,181047,184772,+,227349,231074,-,241147,244876,+,-,-,-
LCB_24,10050,10170,+,180877,180997,+,231125,231244,-,240982,241097,+,-,-,-
LCB_25,9927,9957,+,180754,180784,+,231338,231367,-,240859,240889,+,-,-,-
LCB_26,9533,9634,+,180360,180461,+,231660,231761,-,240465,240566,+,-,-,-
LCB_27,3667,8998,+,174494,179825,+,232296,237627,-,234601,239930,+,-,-,-
LCB_28,2508,2834,+,173335,173661,+,238460,238786,-,233442,233768,+,-,-,-
LCB_29,224,2292,+,171051,173119,+,239002,241070,-,231164,233226,+,-,-,-
LCB_30,1,95,+,170828,170922,+,6,100,-,228639,228732,+,-,-,-
LCB_31,241750,242426,+,412541,413217,+,101,777,-,227962,228630,+,-,-,-
LCB_32,241565,241636,+,412356,412427,+,891,962,-,227777,227848,+,-,-,-
LCB_33,232383,240907,+,403183,411698,+,1620,10144,-,215914,224454,+,-,-,-
LCB_34,232355,232382,+,403155,403182,+,10146,10172,-,215885,215913,+,-,-,-
LCB_35,232045,232353,+,402845,403153,+,10174,10482,-,215576,215884,+,-,-,-
LCB_36,232007,232044,+,402807,402844,+,-,-,-,215538,215575,+,-,-,-
LCB_37,228661,232006,+,399461,402806,+,10521,13866,-,212191,215537,+,-,-,-
LCB_38,225291,225294,+,396092,396095,+,17233,17237,-,208817,208820,+,-,-,-
LCB_39,220954,225098,+,391755,395899,+,17429,21573,-,204479,208624,+,-,-,-
LCB_40,385941,385951,+,143503,143513,+,380356,380366,+,99504,100774,+,-,-,-
LCB_41,384914,385323,+,142476,142885,+,379329,379738,+,98475,98886,+,-,-,-
LCB_42,376742,376865,+,134304,134427,+,371157,371280,+,90313,90436,+,-,-,-
LCB_43,372754,376575,+,130316,134137,+,367169,370990,+,86333,90146,+,-,-,-
LCB_44,109884,109926,+,280703,280745,+,135565,135607,+,83226,83268,+,-,-,-
