atp8,CDS,136442,136918,-,Intergenic/Gap,
cox1,CDS,303937,306481,-,Intergenic/Gap,
cox2,CDS,271429,272146,+,Intergenic/Gap,
nad1,CDS,272816,337467,+,Intergenic/Gap,
nad2,CDS,281871,389741,+,Intergenic/Gap,
nad4,CDS,320129,329743,+,Intergenic/Gap,
nad5,CDS,37103,203710,-,Intergenic/Gap,
rpl2,CDS,257963,260316,+,Intergenic/Gap,
rpl5,CDS,101803,102348,+,Intergenic/Gap,
rps1,CDS,100079,100711,+,Intergenic/Gap,
rps12,CDS,249104,249364,-,Intergenic/Gap,
rps3,CDS,260518,263590,+,Intergenic/Gap,
rrn26,rRNA,189411,192764,-,Intergenic/Gap,
rrn5,rRNA,405200,405315,-,Intergenic/Gap,
sdh3,CDS,9602,9994,-,Intergenic/Gap,
sdh3,CDS,387336,387371,+,Intergenic/Gap,
sdh4,CDS,134955,135443,-,Intergenic/Gap,
