Gene_Name,Feature_Type,Gene_Start,Gene_End,Gene_Strand,VN1_Block_ID,Block_Orientation
atp1,CDS,295017,296546,+,LCB_414,+
atp4,CDS,8346,8942,-,LCB_27,+
atp6,CDS,153526,154245,+,LCB_447,+
atp8,CDS,136442,136918,-,Intergenic/Gap,
atp9,CDS,96825,97049,+,LCB_238,+
ccmB,CDS,24512,25132,-,LCB_440,+
ccmC,CDS,110075,110827,-,LCB_294,+
ccmFC,CDS,57326,59595,+,LCB_369,+
ccmFN,CDS,89669,91426,-,LCB_280,+
cob,CDS,104018,105196,+,LCB_311,+
cox1,CDS,303937,306481,-,Intergenic/Gap,
cox2,CDS,271429,272146,+,Intergenic/Gap,
cox3,CDS,135371,136168,-,LCB_297,+
matR,CDS,279472,281433,+,LCB_347,+
mttB,CDS,19500,20288,+,LCB_362,+
nad1,CDS,272816,337467,+,Intergenic/Gap,
nad2,CDS,281871,389741,+,Intergenic/Gap,
nad3,CDS,63028,63384,-,LCB_328,+
nad4,CDS,320129,329743,+,Intergenic/Gap,
nad4L,CDS,9127,9429,-,LCB_431,+
nad5,CDS,37103,203710,-,Intergenic/Gap,
nad6,CDS,356096,356713,-,LCB_387,+
nad7,CDS,377197,383683,-,LCB_305,+
nad9,CDS,196354,196926,+,LCB_361,+
ndhB,CDS,246338,248256,-,LCB_251,+
rpl10,CDS,64800,65288,-,LCB_301,+
rpl16,CDS,263598,264032,+,LCB_386,+
rpl2,CDS,257963,260316,+,Intergenic/Gap,
rpl5,CDS,101803,102348,+,Intergenic/Gap,
rps1,CDS,100079,100711,+,Intergenic/Gap,
rps12,CDS,62602,62979,-,LCB_328,+
rps12,CDS,249104,249364,-,Intergenic/Gap,
rps14,CDS,102366,102653,+,LCB_311,+
rps3,CDS,260518,263590,+,Intergenic/Gap,
rps4,CDS,137129,138193,-,LCB_374,+
rps7,CDS,248580,249044,-,LCB_251,+
rrn16S,rRNA,251158,252035,+,LCB_54,+
rrn18,rRNA,405898,407833,-,LCB_342,+
rrn26,rRNA,189411,192764,-,Intergenic/Gap,
rrn5,rRNA,405200,405315,-,Intergenic/Gap,
sdh3,CDS,9602,9994,-,Intergenic/Gap,
sdh3,CDS,334606,334697,+,LCB_218,+
sdh3,CDS,387336,387371,+,Intergenic/Gap,
sdh4,CDS,134955,135443,-,Intergenic/Gap,
sdh4,CDS,99711,99767,+,LCB_232,+
trnW-CCA,tRNA,176254,176328,-,LCB_106,+
trnY-GUA,tRNA,15130,15201,+,LCB_21,+
trnC-GCA,tRNA,236407,236479,-,LCB_33,+
trnD-GUC,tRNA,316988,317061,-,LCB_352,+
trnE-UUC,tRNA,225792,225863,-,LCB_392,+
trnF-GAA,tRNA,176697,176770,-,LCB_416,+
trnG-GCC,tRNA,85314,85388,+,LCB_325,+
trnH-GUG,tRNA,228324,228397,+,LCB_392,+
trnK-UUU,tRNA,27612,27684,+,LCB_441,+
trnL-CAA,tRNA,245516,245596,-,LCB_219,+
trnM-CAU,tRNA,156184,156256,+,LCB_299,+
trnfM-CAU,tRNA,300902,300975,-,LCB_418,+
trnfM-CAU,tRNA,149194,149267,-,LCB_335,+
trnI-CAU,tRNA,125332,125405,-,LCB_366,+
trnP-UGG,tRNA,176411,176485,-,LCB_416,+
trnP-UGG,tRNA,197693,197766,+,LCB_394,+
trnQ-UUG,tRNA,87993,88064,+,LCB_316,+
trnS-GCU,tRNA,177124,177211,-,LCB_416,+
trnS-GGA,tRNA,270134,270220,-,LCB_183,+
trnS-UGA,tRNA,28507,28593,+,LCB_441,+
trnV-GAC,tRNA,250859,250930,+,LCB_54,+
trnW-CCA,tRNA,197925,197998,+,LCB_394,+
trnY-GUA,tRNA,254595,254677,-,LCB_404,+
